name	artists	album	cover	href	added_at
あなた - Single Version; 2018 Remaster	Akiko Kosaka	あなた 小坂明子の世界 (2018 Remaster)	https://i.scdn.co/image/ab67616d0000b2733fe6413e3ab95b9353104082	https://api.spotify.com/v1/tracks/4hHd2tnUbsOmx1qJKQj1N3	2025-06-13T21:31:12Z
人として	SUPER BEAVER	27	https://i.scdn.co/image/ab67616d0000b273566e33a7727be1f3df7d90cf	https://api.spotify.com/v1/tracks/5sCLe2F8qkAIUtTORsnjpE	2025-06-13T10:41:34Z
人として	Superfly	人として	https://i.scdn.co/image/ab67616d0000b2730694d8dc5f340e05b9c3d311	https://api.spotify.com/v1/tracks/7sskoAD4nGqan2UbZTJKA7	2025-06-13T10:41:12Z
Flicker	Andora	Flicker	https://i.scdn.co/image/ab67616d0000b2732ab79578838ea13480a495e1	https://api.spotify.com/v1/tracks/2xkfXjYKy3IIh2jy42SHMC	2025-06-05T07:48:14Z
シャトーブリアン	WEDNESDAY CAMPANELLA	シャトーブリアン	https://i.scdn.co/image/ab67616d0000b2736784cbd66b83f4568d9666ff	https://api.spotify.com/v1/tracks/6Jx7VeZX41BiaeUJ2LvD4t	2025-05-29T15:33:24Z
El Dorado	Mikazuki BIGWAVE	Cutie Dance Ongaku	https://i.scdn.co/image/ab67616d0000b273514f23c75d7777296d542681	https://api.spotify.com/v1/tracks/0y1PqH8pcaJ97llEwicDVB	2025-05-28T11:59:47Z
虚仮にしてくれ	ZUTOMAYO	虚仮の一念海馬に託す	https://i.scdn.co/image/ab67616d0000b27339840417e3c8610b7b8aed44	https://api.spotify.com/v1/tracks/0tpElSuz8AJw5ZQsz9zX47	2025-05-27T17:54:44Z
恋におめかし	Sonoko Inoue	PANっと音がした	https://i.scdn.co/image/ab67616d0000b27351484fd0ec2e458f9a4bffe4	https://api.spotify.com/v1/tracks/3KEsegVWM6RwV7HfN7Rk3P	2025-05-27T17:13:26Z
You are "Fighter"	GOLLBETTY	GOLLING!!	https://i.scdn.co/image/ab67616d0000b27323aa86e005e7cb46d380a374	https://api.spotify.com/v1/tracks/3YLyGi5ZUKSqH2cnt7WqYi	2025-05-27T17:00:14Z
思想犯	ヨルシカ	思想犯	https://i.scdn.co/image/ab67616d0000b273c9eb0c8ad063f940bc8e0c59	https://api.spotify.com/v1/tracks/6SNXEbIkap8lN8cuDdjXox	2025-05-25T16:22:17Z
真夏の瞬間	RYUSENKEI	真夏の瞬間	https://i.scdn.co/image/ab67616d0000b27367c59435f7cb36a3d5e051a6	https://api.spotify.com/v1/tracks/494g2jXMwqkCRhWg4g02OZ	2025-05-20T16:45:09Z
1000日間	乃紫	1000日間	https://i.scdn.co/image/ab67616d0000b2736bdb9573449602d9ed407207	https://api.spotify.com/v1/tracks/3HGHvxci8vnRg7RZ5E6lzi	2025-05-08T16:54:45Z
ひみつのアッコちゃん	ロイ-RöE-	61Filter	https://i.scdn.co/image/ab67616d0000b273d20a36fc6bcfd4090ce5ed7c	https://api.spotify.com/v1/tracks/1cFIaC72GXRjITW34FeWcv	2025-04-26T15:57:16Z
ごめんね…	Ms.OOJA	流しのOOJA〜VINTAGE SONG COVERS〜	https://i.scdn.co/image/ab67616d0000b273933b9927408b1d8793551c0d	https://api.spotify.com/v1/tracks/6ib6f7QX730uQ1avQWEVnz	2025-04-26T15:47:39Z
マスカット	Ayaka Hirahara	LOVE	https://i.scdn.co/image/ab67616d0000b2738f2518c78132bea9ba03e27c	https://api.spotify.com/v1/tracks/5h86u840eqoaKZPgEapLW0	2025-04-26T15:20:39Z
愛とか。	Riria.	愛とか。	https://i.scdn.co/image/ab67616d0000b273fcae5d27e776e72523a3aaf2	https://api.spotify.com/v1/tracks/22alwYLfFsS5tOWhO7UbSD	2025-04-26T13:16:45Z
クスシキ	Mrs. GREEN APPLE	クスシキ	https://i.scdn.co/image/ab67616d0000b273f2786222a446af5ef3298f4a	https://api.spotify.com/v1/tracks/3huSUfmhUr4entz2S0G31O	2025-04-25T19:21:34Z
ろんりねす	ZUTOMAYO	ぐされ	https://i.scdn.co/image/ab67616d0000b27345e670c7e25b4d0c1891d283	https://api.spotify.com/v1/tracks/76zBWDh2YUmGantphDwqUs	2025-04-19T06:48:01Z
嘘憑きとサルヴァドール	Yasuha Kominami	嘘憑キズム	https://i.scdn.co/image/ab67616d0000b2739d9c4f299d8e691c3d0e9ae6	https://api.spotify.com/v1/tracks/3oXhATWlwaBcQOvVnyUtjG	2025-04-19T06:40:19Z
笑	Miwa Sasagawa	事実	https://i.scdn.co/image/ab67616d0000b27372b54cdda2877c65386eed79	https://api.spotify.com/v1/tracks/112CZjUizmQ0ftv2bSDEnd	2025-04-19T06:32:30Z
Country Color - New Yoeko ver.	ヨエコ	Country Color／Doremi Song	https://i.scdn.co/image/ab67616d0000b2738a321977e2f89170bc316c5d	https://api.spotify.com/v1/tracks/7lUWbixGkvcCXdSvaSptmU	2025-04-19T06:30:22Z
致死量の自由	Natsuko Nisshoku	永久凍土	https://i.scdn.co/image/ab67616d0000b2732444be8de6f420a164f96050	https://api.spotify.com/v1/tracks/6TJof4GtLNygibndKrGDFr	2025-04-19T06:25:19Z
風、花、ノイズ、街	Natsuko Nisshoku	風、花、ノイズ、街	https://i.scdn.co/image/ab67616d0000b2739e7a64cf8cd3de10b13e0d4e	https://api.spotify.com/v1/tracks/1qMV65mG6MOOnE8iyxxdTf	2025-04-16T18:00:31Z
リベリオン	クレナズム	リベリオン	https://i.scdn.co/image/ab67616d0000b273863d961d7a3446c42d30d147	https://api.spotify.com/v1/tracks/67fZ9ZOO5gLFCJjLwocwgx	2025-04-16T17:55:28Z
あのモーニングセット	クレナズム	あのモーニングセット	https://i.scdn.co/image/ab67616d0000b273a662fe492a5ee2322b178895	https://api.spotify.com/v1/tracks/7gNMt6Bn24dzqZy7z5McBO	2025-04-16T16:12:52Z
SHINY DAYS	亜咲花	HEART TOUCH	https://i.scdn.co/image/ab67616d0000b2735e0efe4aa01b6566b494bc63	https://api.spotify.com/v1/tracks/3exMduVgbfvLO7FiKgO3tk	2025-04-09T19:36:36Z
ことほぎ	Tele	ことほぎ	https://i.scdn.co/image/ab67616d0000b2731f278f0a5c6639c3c14ace78	https://api.spotify.com/v1/tracks/5bNzSOlYpTNdTm5aZMgi8F	2025-04-09T09:39:48Z
HELP!!	Kobo Kanaeru	HELP!!	https://i.scdn.co/image/ab67616d0000b273e0c4007daaad3c26ce9090e9	https://api.spotify.com/v1/tracks/2sb0MPuym9pDaru5M2DHsU	2025-04-08T08:24:36Z
バルンの不思議な旅	Yoeko Kurahashi	解体ピアノ	https://i.scdn.co/image/ab67616d0000b273101082d6318363adbc051e85	https://api.spotify.com/v1/tracks/1TPeuWgyf97RNaEBuLmwSz	2025-04-06T17:01:18Z
starlights (feat. TEA)	kamome sano	Goodbye, Friend	https://i.scdn.co/image/ab67616d0000b273ecc3ef78ed39465ae4cc1d48	https://api.spotify.com/v1/tracks/2jUdY0h50VvF58hRnJHEx7	2025-04-06T11:19:10Z
IN YOUR EYES 「瞳の中で」	k?d	CAGE SCRIPT	https://i.scdn.co/image/ab67616d0000b2733f53264e1a75cd1a2a060a53	https://api.spotify.com/v1/tracks/1VviocEvd6zv4xudscXgcj	2025-04-06T10:57:34Z
Catch a Fire	電音部	Catch a Fire	https://i.scdn.co/image/ab67616d0000b27305fe3c5c2c3dbf5c7980d477	https://api.spotify.com/v1/tracks/2Pc4HeuvdLSI2pNXDEkojR	2025-04-06T10:52:18Z
レモネード	Antenna Girl	LEMONADE MOON	https://i.scdn.co/image/ab67616d0000b273ea86a7ee9a2a289602df149e	https://api.spotify.com/v1/tracks/3OxPWy7CV9Tc9lFRPY3Z2d	2025-04-04T18:10:40Z
