name	artists	album	cover	href	added_at
今すぐKiss Me	LINDBERG	LINDBERG III	https://i.scdn.co/image/ab67616d0000b273df9d87d8260179558b891e58	https://api.spotify.com/v1/tracks/5Nc3OwtzaQdeyEFMb31YCW	2022-02-11T20:01:20Z
GAMBAらなくちゃね	LINDBERG	LINDBERG VII	https://i.scdn.co/image/ab67616d0000b273eb0070ac4cd2ae2e5d8c6062	https://api.spotify.com/v1/tracks/2ncGi9LRgCuj7IIDig0dS9	2022-02-11T20:01:00Z
The Thing With Feathers	Sweet Dove	Hope Is the Thing With Feathers	https://i.scdn.co/image/ab67616d0000b273a56c23e60bd970d2c5f97201	https://api.spotify.com/v1/tracks/4gcP3UEO2p2ldWp8agxcVV	2022-02-11T19:31:49Z
Yellow	Nyarons	Yellow	https://i.scdn.co/image/ab67616d0000b27386a9f8538e975be029334a5d	https://api.spotify.com/v1/tracks/3KeMtIw4dugtkUONyeKYrT	2022-02-11T19:21:35Z
揺れる想い	ZARD	ZARD Forever Best ~25th Anniversary~	https://i.scdn.co/image/ab67616d0000b273082c061aca4868e6f8145ac0	https://api.spotify.com/v1/tracks/4gaTzdBsxdjdYR7Ro0aMwe	2022-02-08T21:51:17Z
マイ フレンド	ZARD	ZARD Forever Best ~25th Anniversary~	https://i.scdn.co/image/ab67616d0000b273082c061aca4868e6f8145ac0	https://api.spotify.com/v1/tracks/138GeNne5IbHrGHHtTb9zZ	2022-02-08T21:49:01Z
Good-bye My Loneliness	ZARD	ZARD Forever Best ~25th Anniversary~	https://i.scdn.co/image/ab67616d0000b273082c061aca4868e6f8145ac0	https://api.spotify.com/v1/tracks/3PWIRiWKuJpX2ZRXZLt01B	2022-02-08T21:48:55Z
揺れる想い	ZARD	揺れる想い	https://i.scdn.co/image/ab67616d0000b2737f0bbb7ba0ba561880db09e5	https://api.spotify.com/v1/tracks/7GjZ2TXXfyukkhJrnh754c	2022-02-08T21:48:40Z
Mekenaide Makenaide	Megumi Hayashibara	VINTAGE DENIM	https://i.scdn.co/image/ab67616d0000b27321d5b5c8e18408aaf92f9ddd	https://api.spotify.com/v1/tracks/1UhvsWPW5HNZuK928FS5j7	2022-02-08T10:26:54Z
最後のKISS	Yumi Tanimura	愛する人へ	https://i.scdn.co/image/ab67616d0000b27300ef1ac1f9de6cb3dab516dc	https://api.spotify.com/v1/tracks/0o6tMUskqiLH7NzHe36Qh9	2022-02-04T17:33:39Z
City Hunter 〜愛よ消えないで〜	Kahoru Kohiruimaki	The LEGEND	https://i.scdn.co/image/ab67616d0000b273ea73736c44b691d364986953	https://api.spotify.com/v1/tracks/4c0G3S4tGbwoJrF8Ve662r	2022-02-04T17:28:40Z
パピヨン 〜papillon〜	Hitomi Shimatani	PAPILLON	https://i.scdn.co/image/ab67616d0000b273aa163d039f33ecfd7f6a6955	https://api.spotify.com/v1/tracks/0E0nqXEw6HtFEqsQTTOMcJ	2022-02-04T16:49:12Z
涙もろいから	Mako Ishino	わたしのしあわせ MAKO・V	https://i.scdn.co/image/ab67616d0000b273a60f6c41b7303f2dec63bbc4	https://api.spotify.com/v1/tracks/2iINgB3SP1bgsnHJSxle61	2022-02-04T16:45:11Z
Universe	Official HIGE DANdism	Editorial	https://i.scdn.co/image/ab67616d0000b2731ce13e03759fd585b8115476	https://api.spotify.com/v1/tracks/0RuLz62h4YPNXqdO20Fmf6	2022-01-31T20:03:56Z
Forever Friends	Daoko	打上花火	https://i.scdn.co/image/ab67616d0000b27398c2a02143e5ee8a80ca0c94	https://api.spotify.com/v1/tracks/0a3KDmOQMXc3DA7wohn8I8	2022-01-29T21:14:05Z
ひまわりの約束	Motohiro Hata	青の光景	https://i.scdn.co/image/ab67616d0000b273aa31301a56e817327e6bca04	https://api.spotify.com/v1/tracks/45jGOHwYKgsRYbAJ8DR61d	2022-01-23T00:31:39Z
熱帯夜	SHISHAMO	SHISHAMO 3	https://i.scdn.co/image/ab67616d0000b2732d8842490db1225f1d3dccc7	https://api.spotify.com/v1/tracks/0ggAzs3Jd0Up4OKPH0hXu1	2022-01-23T00:29:20Z
Kaerukagennsyouninayannderuonnnanokonohanashi.	Riria.	Kaerukagennsyouninayannderuonnnanokonohanashi.	https://i.scdn.co/image/ab67616d0000b273479b2898e22d463717376c9f	https://api.spotify.com/v1/tracks/5e8ZcXftdTZivwxGI46YzY	2022-01-23T00:24:17Z
Sunshine Girl	moumoon	moumoon BEST -FULLMOON-	https://i.scdn.co/image/ab67616d0000b273d5136ed356114bc40f2edcce	https://api.spotify.com/v1/tracks/7dejKdjQxjluvCS3ZjiyyK	2022-01-23T00:23:45Z
僕の春	I's	DON’t COMMIT SUICIDE	https://i.scdn.co/image/ab67616d0000b273ebc609f408549e1eb781a7b3	https://api.spotify.com/v1/tracks/5m54sXl2810nlNFzLxMesy	2022-01-21T19:45:41Z
春夏秋冬・朝昼夜	Chica Boom	春夏秋冬 ~Chica Boom Selection~	https://i.scdn.co/image/ab67616d0000b27340dea4b8a15822cc5955808e	https://api.spotify.com/v1/tracks/2LztDDeoklqDDCZLxGrSjk	2022-01-21T19:41:58Z
DEAR . . . again	Kohmi Hirose	SINGLE COLLECTION	https://i.scdn.co/image/ab67616d0000b273867ebb4304acef2866a9972b	https://api.spotify.com/v1/tracks/74Iunh5momVEMq0E6ZpDGc	2022-01-21T16:16:00Z
